         3593875782 function calls (3006807937 primitive calls) in 19495.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.188    0.004   39.543    0.942 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/joblib/numpy_pickle.py:424(dump)
       42    0.026    0.001   39.231    0.934 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pickle.py:476(dump)
447552/42    0.219    0.000   39.155    0.932 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/joblib/numpy_pickle.py:322(save)
447552/42    0.529    0.000   39.136    0.932 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pickle.py:535(save)
 21378/42    0.058    0.000   39.020    0.929 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pickle.py:621(save_reduce)
 21168/42    0.023    0.000   38.962    0.928 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pickle.py:965(save_dict)
 21168/42    0.137    0.000   38.961    0.928 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pickle.py:978(_batch_setitems)
       42    0.009    0.000   38.513    0.917 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pickle.py:925(save_list)
       42    0.003    0.000   38.504    0.917 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pickle.py:938(_batch_appends)
      630    0.031    0.000   38.098    0.060 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/image.py:1550(imsave)
      630    0.022    0.000   37.915    0.060 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/Image.py:2376(save)
      630    0.027    0.000   36.833    0.058 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/PngImagePlugin.py:1233(_save)
      630    0.006    0.000   36.755    0.058 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/ImageFile.py:517(_save)
      630    0.009    0.000   36.747    0.058 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/ImageFile.py:545(_encode_tile)
3196998/1766226    2.905    0.000   36.692    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:522(head_slice)
      834   36.611    0.044   36.611    0.044 {method 'encode' of 'ImagingEncoder' objects}
    12642    0.366    0.000   35.521    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/joblib/numpy_pickle.py:97(write_array)
  1345806    0.977    0.000   34.305    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:532(<listcomp>)
    12600   33.852    0.003   33.852    0.003 {method 'tobytes' of 'numpy.ndarray' objects}
   420504    0.576    0.000   30.104    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:57(from_slicer)
     1134    0.007    0.000   29.300    0.026 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/series.py:4789(apply)
     1134    0.007    0.000   29.286    0.026 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/apply.py:1409(apply)
     1134    0.019    0.000   29.274    0.026 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/apply.py:1482(apply_standard)
     1134    0.061    0.000   29.146    0.026 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/base.py:891(_map_values)
     1134   12.557    0.011   29.084    0.026 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/algorithms.py:1667(map_array)
  3196998    2.082    0.000   28.168    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:545(tail_slice)
500724615/500721885   25.116    0.000   27.601    0.000 {built-in method builtins.isinstance}
     1008    0.215    0.000   26.405    0.026 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:865(figure)
  9464196   13.799    0.000   26.043    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:142(_handle_newaxis_ellipses)
      630    0.033    0.000   25.975    0.041 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:542(new_figure_manager)
      630    0.127    0.000   25.108    0.040 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:3514(new_figure_manager)
     4200    0.042    0.000   25.096    0.006 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1414(draw)
558654343   25.041    0.000   25.043    0.000 {method 'get' of 'dict' objects}
     1260    0.007    0.000   24.519    0.019 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:380(draw)
       42    0.028    0.001   24.379    0.580 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/plots/_heatmap.py:11(heatmap)
      630    0.010    0.000   23.640    0.038 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:3523(new_figure_manager_given_figure)
      630    0.003    0.000   23.630    0.038 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:1800(new_manager)
      630    0.724    0.001   23.626    0.038 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2687(create_with_canvas)
       42    0.410    0.010   23.467    0.559 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/plots/_violin.py:17(violin)
      630    7.918    0.013   22.290    0.035 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:150(__init__)
      168    0.002    0.000   21.806    0.130 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/plots/_utils.py:21(convert_ordering)
      168    0.010    0.000   21.777    0.130 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/utils/_general.py:273(apply)
       42    0.005    0.000   21.693    0.517 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/_explanation.py:589(hclust)
       42   20.809    0.495   21.091    0.502 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/scipy/cluster/hierarchy.py:1475(optimal_leaf_ordering)
       42    0.008    0.000   20.952    0.499 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/ensemble/_forest.py:1042(predict)
24497467/24473737    8.039    0.000   20.590    0.000 {built-in method builtins.getattr}
     4200    0.041    0.000   19.308    0.005 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/ensemble/_forest.py:724(_accumulate_prediction)
     4200   19.210    0.005   19.266    0.005 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:505(predict)
       42    0.243    0.006   18.542    0.441 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/regression/random_forest_regression/random_forest_regression.py:252(load_shap_values)
       42    0.003    0.000   17.995    0.428 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/npyio.py:282(load)
       42    0.003    0.000   17.978    0.428 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/format.py:738(read_array)
       84   16.253    0.193   17.898    0.213 {built-in method _pickle.load}
 66723353   16.290    0.000   16.296    0.000 {built-in method builtins.max}
  9464196    6.688    0.000   16.280    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer_internal.py:91(_normalize_subkey_types)
      378    0.270    0.001   16.136    0.043 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/scipy/stats/_kde.py:237(evaluate)
      756   15.843    0.021   15.861    0.021 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/scipy/linalg/_basic.py:264(solve_triangular)
8899/8521    0.043    0.000   15.280    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/__init__.py:1470(inner)
 11491494    5.360    0.000   14.488    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:242(_update_max_dim)
 75600000   11.731    0.000   14.446    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/regression/random_forest_regression/random_forest_regression.py:70(<lambda>)
    16548    0.304    0.000   13.752    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1294(_update_ticks)
      378    0.092    0.000   13.671    0.036 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/shap/plots/_scatter.py:16(scatter)
       84   13.482    0.160   13.482    0.160 {built-in method _pickle.dump}
       42    0.008    0.000   13.454    0.320 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/format.py:666(write_array)
 14099358   10.026    0.000   13.094    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/slicer/slicer.py:125(__getattr__)
    85852    1.337    0.000   11.397    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
