         11159025653 function calls (10944996819 primitive calls) in 7676.283 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   996194    6.758    0.000  278.077    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
 42815623  132.373    0.000  264.750    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:208(__call__)
   969708    2.508    0.000  264.120    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_axes.py:749(annotate)
   969708    3.577    0.000  246.943    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1634(__init__)
280540014/279940882  186.466    0.000  233.135    0.000 {built-in method numpy.asarray}
 33120223   28.551    0.000  223.746    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:226(point_at_t)
   138300    0.710    0.000  223.044    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:537(_validate_data)
 94154269  144.243    0.000  212.702    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:642(__hash__)
  7756320   47.715    0.000  196.903    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/polynomial.py:172(roots)
   987080    1.493    0.000  188.722    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:104(__init__)
 87568273   85.839    0.000  186.788    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/__init__.py:132(check_shape)
       84    0.053    0.001  183.676    2.187 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/decision_tree_classifier/decision_tree_classifier.py:114(<listcomp>)
  3686656    4.379    0.000  175.418    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:6432(dtypes)
  5233121    9.024    0.000  174.412    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:249(_prepare_font)
   864001    0.577    0.000  173.490    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:73(_get_text_metrics_with_cache_impl)
   864841    2.204    0.000  172.961    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:207(get_text_width_height_descent)
    92032    0.340    0.000  172.302    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/metrics/_classification.py:151(accuracy_score)
 87568273   61.642    0.000  170.756    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:202(_update_values)
4150974/4150890   22.906    0.000  169.549    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/series.py:389(__init__)
    92788    0.448    0.000  168.091    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/metrics/_classification.py:72(_check_targets)
266552287   82.304    0.000  165.210    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/__init__.py:745(__getitem__)
 31096755   10.794    0.000  161.360    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:653(__eq__)
 32958155   11.555    0.000  160.592    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/font_manager.py:903(copy)
169832247/107638737   25.964    0.000  155.535    0.000 {built-in method builtins.hash}
 33214478   57.179    0.000  149.199    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/copy.py:66(copy)
 28578260   18.570    0.000  146.172    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/shape_base.py:791(split)
158812462   17.141    0.000  140.595    0.000 {built-in method builtins.hasattr}
       84    0.054    0.001  139.150    1.657 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/decision_tree_classifier/decision_tree_classifier.py:115(<listcomp>)
    92116   18.363    0.000  138.463    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/tree/_classes.py:505(predict)
