         39365548 function calls (39331711 primitive calls) in 172.578 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      505    0.003    0.000    0.315    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/execute.py:222(args_to_matching_eager)
     1010    0.015    0.000    0.302    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/tensor_getitem_override.py:65(_slice_helper)
      505    0.001    0.000    0.299    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:1197(_autopacking_helper)
      505    0.001    0.000    0.297    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/gen_array_ops.py:6676(pack)
       95    0.000    0.000    0.288    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/tensor_math_operator_overrides.py:79(_subtract_factory)
       95    0.000    0.000    0.287    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:539(subtract)
       95    0.000    0.000    0.287    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:12212(sub)
       95    0.000    0.000    0.282    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/tensor_math_operator_overrides.py:61(_mul_dispatch_factory)
      505    0.000    0.000    0.282    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/tensor_conversion.py:96(convert_to_tensor_v2_with_dispatch)
       95    0.000    0.000    0.282    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:1698(_mul_dispatch)
       95    0.001    0.000    0.282    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:3835(add)
      505    0.000    0.000    0.282    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/tensor_conversion.py:166(convert_to_tensor_v2)
       95    0.000    0.000    0.281    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:475(multiply)
       95    0.000    0.000    0.281    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:6806(mul)
       95    0.000    0.000    0.280    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:459(add_v2)
  5570902    0.219    0.000    0.219    0.000 {method 'append' of 'list' objects}
    20088    0.050    0.000    0.211    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/framework/random_seed.py:38(get_seed)
  4049298    0.185    0.000    0.199    0.000 {built-in method builtins.isinstance}
  3693127    0.187    0.000    0.187    0.000 {method 'get' of 'dict' objects}
     3030    0.002    0.000    0.165    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/array_ops_stack.py:24(stack)
   112167    0.064    0.000    0.153    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/eager/context.py:2330(executing_eagerly)
    23623    0.029    0.000    0.124    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:1282(_should_not_autopack)
