         123270638918 function calls (121949207503 primitive calls) in 58061.602 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
260858469  185.058    0.000  430.297    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:114(_process_radius)
362961344  394.964    0.000  394.964    0.000 {built-in method matplotlib._path.affine_transform}
2845902894/2845567610  366.117    0.000  392.342    0.000 {built-in method builtins.getattr}
81006558/68595486   38.605    0.000  385.335    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/contextlib.py:141(__exit__)
 99275285   64.010    0.000  379.605    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:2008(rotate_deg)
 68237752   59.662    0.000  378.501    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/path.py:470(cleaned)
       40    0.050    0.001  378.147    9.454 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/decision_tree_regression/decision_tree_regression.py:16(__init__)
       40    0.074    0.002  378.079    9.452 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:868(read_csv)
       40    0.205    0.005  377.982    9.450 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:583(_read)
       40    0.008    0.000  377.381    9.435 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1907(read)
       40   14.184    0.355  375.750    9.394 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:222(read)
  6206792   24.183    0.000  374.194    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/transforms.py:651(union)
 46091274  106.813    0.000  367.354    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:95(split_de_casteljau)
