         3241470150 function calls (3100549618 primitive calls) in 2764.390 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      630    0.010    0.000   25.165    0.040 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/figure.py:3135(draw)
150499355/101454337   16.251    0.000   25.100    0.000 {built-in method builtins.len}
 1470/630    0.008    0.000   24.979    0.040 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
      840    0.011    0.000   24.974    0.030 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:3044(draw)
  8462178    4.987    0.000   23.613    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/_config/config.py:145(_get_option)
      210    0.003    0.000   23.474    0.112 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/util/_decorators.py:325(wrapper)
      210    0.014    0.000   23.471    0.112 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:3797(to_csv)
      210    0.007    0.000   23.428    0.112 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/formats/format.py:965(to_csv)
      210    0.004    0.000   23.376    0.111 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/formats/csvs.py:246(save)
      210    0.001    0.000   23.139    0.110 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/formats/csvs.py:272(_save)
      210    0.135    0.001   23.128    0.110 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/formats/csvs.py:305(_save_body)
      420    6.938    0.017   22.991    0.055 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/io/formats/csvs.py:315(_save_chunk)
  8463249    6.302    0.000   22.469    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:807(_set_axis)
  4135844    1.096    0.000   21.593    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:878(<genexpr>)
  9681543   21.296    0.000   21.296    0.000 {method 'astype' of 'numpy.ndarray' objects}
  3195994    5.316    0.000   20.497    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:677(_pandas_dtype_needs_early_conversion)
   470873    0.295    0.000   20.028    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/inspect.py:3261(signature)
   470873    0.314    0.000   19.732    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/inspect.py:3007(from_callable)
565197/470873    1.843    0.000   19.419    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/inspect.py:2435(_signature_from_callable)
   846054    0.315    0.000   18.245    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2586(get_values)
   766926    0.778    0.000   17.954    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/arraysetops.py:138(unique)
      630    0.004    0.000   17.245    0.027 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:380(draw)
      105    0.003    0.000   17.221    0.164 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:165(graph_nodes_and_depth)
  9791492    5.095    0.000   16.846    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/warnings.py:166(simplefilter)
      420    0.019    0.000   16.697    0.040 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/image.py:1550(imsave)
      420    0.010    0.000   16.643    0.040 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/Image.py:2376(save)
   766926    4.091    0.000   16.576    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
      420    0.014    0.000   16.277    0.039 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/PngImagePlugin.py:1233(_save)
      420    0.004    0.000   16.241    0.039 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/ImageFile.py:517(_save)
      420    0.004    0.000   16.236    0.039 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/PIL/ImageFile.py:545(_encode_tile)
      525   16.159    0.031   16.159    0.031 {method 'encode' of 'ImagingEncoder' objects}
   470873    4.705    0.000   15.805    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/inspect.py:2331(_signature_from_function)
  8463249    4.754    0.000   15.801    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/series.py:784(name)
    94111    0.191    0.000   15.572    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:658(_validate_params)
 96183612   12.414    0.000   15.567    0.000 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:74(<lambda>)
 30531717    7.011    0.000   15.280    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
   381274    0.365    0.000   14.543    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_array_api.py:406(unique_values)
    93901    0.221    0.000   14.275    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:298(__repr__)
89384932/88438782    8.362    0.000   14.033    0.000 {built-in method builtins.getattr}
    93901    0.066    0.000   13.737    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pprint.py:159(pformat)
    93901    0.092    0.000   13.661    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pprint.py:171(_format)
    93901    0.052    0.000   13.545    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/pprint.py:457(_repr)
    93901    0.042    0.000   13.486    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_pprint.py:188(format)
469295/93901    0.677    0.000   13.445    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_pprint.py:355(_safe_repr)
   282333    1.814    0.000   13.416    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:25(validate_parameter_constraints)
  8462178    6.859    0.000   13.405    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/_config/config.py:127(_get_single_key)
  8463249    2.871    0.000   13.193    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/managers.py:236(set_axis)
  8467512    3.647    0.000   13.118    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/indexes/base.py:7688(maybe_extract_name)
   188327    0.594    0.000   13.034    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:227(get_params)
  7941631   12.862    0.000   12.862    0.000 {built-in method numpy.array}
14695038/14694933    4.448    0.000   12.644    0.000 {built-in method builtins.all}
  4699754    5.140    0.000   12.376    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/base.py:836(__iter__)
    93901    0.219    0.000   12.294    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_pprint.py:89(_changed_params)
   188327    0.839    0.000   12.283    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/base.py:196(_get_param_names)
   771215   11.629    0.000   11.629    0.000 {method 'sort' of 'numpy.ndarray' objects}
      105    0.010    0.000   11.372    0.108 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:155(graph_impurities)
  9791597    6.865    0.000   11.250    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/warnings.py:182(_add_filter)
     3554    0.012    0.000   11.166    0.003 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:1975(draw)
  8463459    5.388    0.000   11.140    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2716(new_block)
  8463564    2.973    0.000   11.048    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1571(validate_all_hashable)
  3008675    1.928    0.000   10.998    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/indexes/base.py:5437(_can_hold_identifiers_and_holds_name)
  8461800    6.288    0.000   10.814    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2645(maybe_coerce_values)
    94321    4.997    0.000   10.745    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:1382(check_random_state)
   282018    1.881    0.000   10.633    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:96(_assert_all_finite)
  8469066    8.461    0.000   10.547    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/generic.py:278(__init__)
  8463249    3.530    0.000   10.322    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/internals/base.py:86(_validate_set_axis)
 46190882    7.574    0.000   10.227    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/indexes/base.py:909(__len__)
  8467617    3.882    0.000   10.113    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/construction.py:696(_sanitize_ndim)
  420/315    0.003    0.000    9.832    0.031 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:446(wrapper)
      315    0.012    0.000    9.803    0.031 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axes/_base.py:4391(get_tightbbox)
   377389    0.614    0.000    9.614    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:439(check_consistent_length)
     4701    0.031    0.000    9.595    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:4413(_get_path_in_displaycoord)
      315    0.004    0.000    9.485    0.030 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:1548(subplots)
     8400    0.173    0.000    9.421    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1294(_update_ticks)
     4701    0.026    0.000    9.256    0.002 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2810(__call__)
     9402    0.029    0.000    9.168    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/patches.py:2790(_clip)
    14103    0.218    0.000    9.136    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:351(split_path_inout)
  7518989    4.842    0.000    9.020    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/construction.py:769(_try_cast)
      105    0.004    0.000    8.532    0.081 /Users/austinnicolas/Documents/SummerREU2024/SummerResearch2024/calculating_tradeoffs/alt_classification/decision_tree_alternate/decision_tree_alternate.py:180(graph_accuracy)
  8465454    4.761    0.000    8.334    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/series.py:734(name)
     1260    0.015    0.000    8.312    0.007 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1355(get_tightbbox)
 30531717    6.239    0.000    8.269    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:37(_check)
  1131957    2.421    0.000    8.100    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/validation.py:367(_num_samples)
     1260    0.015    0.000    8.089    0.006 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/axis.py:1414(draw)
 15983225    3.667    0.000    8.082    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/pandas/core/series.py:831(_values)
   944428    0.394    0.000    7.816    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_array_api.py:427(isdtype)
      420    0.021    0.000    7.694    0.018 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:865(figure)
      420    0.003    0.000    7.651    0.018 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/pyplot.py:542(new_figure_manager)
    13158    0.022    0.000    7.633    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:316(split_bezier_intersecting_with_closedpath)
      420    0.014    0.000    7.522    0.018 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:3514(new_figure_manager)
  2112103    7.456    0.000    7.456    0.000 {built-in method numpy.empty}
   944428    0.706    0.000    7.422    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/sklearn/utils/_array_api.py:189(isdtype)
    13158    0.318    0.000    7.402    0.001 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/bezier.py:113(find_bezier_t_intersecting_with_closedpath)
    59702    0.928    0.000    7.276    0.000 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
      420    0.002    0.000    7.228    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:3523(new_figure_manager_given_figure)
      420    0.001    0.000    7.226    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:1800(new_manager)
      420    0.163    0.000    7.224    0.017 /opt/anaconda3/envs/tf-gpu/lib/python3.11/site-packages/matplotlib/backend_bases.py:2687(create_with_canvas)
